Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2
1,Document,,,,,,,,,,Discipline,
2,Page,,,,,,,,,,37 H,
3,Process,Flowchart Shapes,2,,,,,,,,"Has the student already been suspended or expelled for this incident?
Pop Up: What is a suspension and what is an expulsion?There are two kinds of suspensions, an in-school-suspensions and an out-of-school suspension. An in-school-suspension is when a student is told they have to leave their classroom and work in a different classroom for more than half of a school day. An out-of-school suspension is when the student is told they cannot come back to school at all for a certain number of days. An expulsion is when the student is told they cannot come back to school for more than 90 school days.",
4,Process,Flowchart Shapes,2,,,,,,,," What is the student being suspended or expelled for? Are they being suspended or expelled for:
(1) Breaking a school rule,
(2) Bringing a weapon to school,
(3) Bringing drugs to school,
(4) Hitting or assaulting educational staff?
(5) because the student was charged with a crime and had to go to court?",
5,Process,Flowchart Shapes,2,,,,,,,,"Are you having problems with discipline, special education, or bullying?",
6,Process,Flowchart Shapes,2,,,,,,,,The user has already identified that they're the student's parent.,
7,Process,Flowchart Shapes,2,,,,,,,,Has the school said they might suspend or expel the student?,
8,Process,Flowchart Shapes,2,,,,,,,,"Type of Discipline You said that the school is accusing the student of bringing a weapon to school. This means that the discipline is covered by a Massachusetts law called 71 MGL §37H.  You can read the full law here.  https://malegislature.gov/laws/generallaws/parti/titlexii/chapter71/section37h  In Massachusetts, a student can be suspended or expelled for bringing a weapon to school. But, the law says that only certain things count as “weapons” and only certain places count as “school.” Sometimes, schools say that the student brought a weapon to school, even when what the student had doesn’t count as a “weapon,” or the place the student was doesn’t count as “school.”
                                                                                                     To start, we are going to ask some questions about what the school says the student did. This will help us to find out if the school can punish the student for “bringing a weapon to school.” These questions will only be about what the school says happened, later we will have questions about the student’s side of the story.",
9,Process,Flowchart Shapes,2,,,,,,,,"First, we are going to look at what counts as ""school.""Bringing a weapon ""to school,"" means bringing a weapon into the school building, to a school event, or to another school activity. An example of a school event is a job fair or sports game. An example of a school activity is a field trip.                    												Is the school accusing the student of bringing the drugs into the school building, to a school event, or to another school activity?",
10,Process,Flowchart Shapes,2,,,,,,,,It might be helpful to talk to someone about your student’s situation.                                                   										We recommend that you call the EdLaw Project help-line at 617-910-5829 for help..,
11,Process,Flowchart Shapes,2,,,,,,,,"You said that the school is accusing the student of bringing a weapon to school, but the thing that the principal is saying was a weapon shouldn’t be called a weapon.         							Do you want to include that in your complaint?",
12,Process,Flowchart Shapes,2,,,,,,,,"Under school discipline law, ""weapon"" is defined by the school principal.  The weapon can be anything that the principal says is a weapon.  Is the school accusing the student of having something that the principal says is a weapon? (y/n/yes, but the thing the principal is saying is a weapon shouldn't be called a weapon) ",
13,Process,Flowchart Shapes,2,,,,,,,,It might be helpful to talk to someone about your student’s situation.                                                 													We recommend that you call the EdLaw Project help-line at 617-910-5829 for help..,
14,Process,Flowchart Shapes,2,,,,,,,,"You said that the school is accusing the student of bringing a weapon to school, but the thing that the principal is saying was a weapon shouldn’t be called a weapon.   We recommend that you include this paragraph in your complaint:   ""The school is accusing the student of bringing a weapon to school and moving to discipline the student under 37H, but the principal is using an unreasonable definition of 'weapon' ""  In the box below, explain what happened.  Include what the ""weapon"" is, and any information that's relevant to the principal calling it a ""weapon""                               ADD: Is the school trying to expel the student? We recommend that you call th Edlaw project helping for help! 617-910-5829. ADD HELPLINE BOX   ",
15,Process,Flowchart Shapes,2,,,,,,,,"Type of Discipline
You said that the school is accusing the student of “bringing drugs to school.”  This means that the discipline is covered by a Massachusetts law called 71 MGL §37H.  You can read the full law here.  https://malegislature.gov/laws/generallaws/parti/titlexii/chapter71/section37h    In Massachusetts, students can be suspended or expelled for bringing drugs to school. But, the law says that only certain things count as “drugs” and only certain places count as “school.” Sometimes, schools say that the student brought drugs to school, even when what the student had does not count as “drugs,” or the place the student was does not count as “school.    I noticed in the orange pop up for this that it mentions 37H, but we haven't mentioned it before the orange pop up...is that by design?  This is true for all of the 37H offenses.                    
                                                                                     To start, we are going to ask some questions about what the school says the student did. This will help us to find out if the school can punish the student for “bringing drugs to school.” These questions will only be about what the school says happened, later we will have questions about the student’s side of the story.",
16,Process,Flowchart Shapes,2,,,,,,,,"First, we are going to look at what counts as ""school.""
                                                                                 Bringing drugs ""to school,"" means bringing drugs into the school building, to a school event, or to another school activity. An example of a school event is a job fair or sports game. An example of a school activity is a field trip.
                                                                                    Is the school accusing the student of bringing the drugs into the school building, to a school event, or to another school activity?   yes/no/  don't know",
17,Process,Flowchart Shapes,2,,,,,,,,It might be helpful to talk to someone about your student’s situation.                                                  										We recommend that you call the EdLaw Project help-line at 617-910-5829 for help..,
18,Process,Flowchart Shapes,2,,,,,,,,"What counts as a “drug” is defined by Massachusetts law. It includes things like cocaine, heroin and pills that aren’t prescribed by a doctor. It also includes marijuana. It does not include alcohol and tobacco.
                                                                                                                                    Is the school accusing the student of having something that fits the legal definition of ""drug""?
                                                                                                                                       See the full law here (https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXV/Chapter94C/Section1)  Yes/No/I don't know",
19,Process,Flowchart Shapes,2,,,,,,,,"if you aren't sure about the answer to a question, we recommend that you call the EdLaw Project help-line at 617-910-5829 for help.",
20,Process,Flowchart Shapes,2,,,,,,,,"Okay, we'll move on to the next section.  ",
